URL,Owner,Repo,Severity,Type,Score,Cyrillic,Entropy Files,YARA Matches,Status
https://github.com/obet734/pubg-aimboost-toolkit,obet734,pubg-aimboost-toolkit,MEDIUM,PATTERN_MATCH,55,False,0,0,PENDING
https://github.com/Demits23/battleground-enhancer-toolkit,Demits23,battleground-enhancer-toolkit,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/sussaniiii/pubg-aim-enhancer-tools,sussaniiii,pubg-aim-enhancer-tools,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/alssalimi/Pubg-DESYNC-Menu,alssalimi,Pubg-DESYNC-Menu,HIGH,YARA_MATCH,36,False,0,1,PENDING
https://github.com/soundmobbin-hash/pubg-external-toolkit,soundmobbin-hash,pubg-external-toolkit,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/rngrj67-cloud/pubg-enhanced-playstyles,rngrj67-cloud,pubg-enhanced-playstyles,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/misty2515/pubg-enhanced-gaming-tools,misty2515,pubg-enhanced-gaming-tools,HIGH,YARA_MATCH,62,False,0,1,PENDING
https://github.com/farid-ah/pubg-external-enhancer,farid-ah,pubg-external-enhancer,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/Mikhailraaziqin/pubg-advantage-toolkit,Mikhailraaziqin,pubg-advantage-toolkit,LOW,PATTERN_MATCH,39,False,0,0,PENDING
https://github.com/RPD-V2/PUBG-HACK-AI,RPD-V2,PUBG-HACK-AI,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/dirocco-PUBG-Loot-ESP/.github,dirocco-PUBG-Loot-ESP,.github,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/PUBG-Wallhack-l-1900/.github,PUBG-Wallhack-l-1900,.github,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/HimakomUnud/PUBG-Aim-WH-Radar-Loot-Spoofer-by-Satano,HimakomUnud,PUBG-Aim-WH-Radar-Loot-Spoofer-by-Satano,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/PUBG-Aibot-ESP/pubg-aimbot-esp,PUBG-Aibot-ESP,pubg-aimbot-esp,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/PUBG-Aimbot-yg929/pubg-aimbot,PUBG-Aimbot-yg929,pubg-aimbot,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/Afadeeel/Pubg-2025,Afadeeel,Pubg-2025,HIGH,CRITICAL_INFRA,55,False,0,0,PENDING
https://github.com/PUBG-Hack-Tool/.github,PUBG-Hack-Tool,.github,HIGH,YARA_MATCH,54,False,0,1,PENDING
https://github.com/PUBG-Cheats/.github,PUBG-Cheats,.github,HIGH,YARA_MATCH,46,False,0,1,PENDING
https://github.com/PUBG-Aimbot-v2/.github,PUBG-Aimbot-v2,.github,HIGH,YARA_MATCH,46,False,0,1,PENDING
https://github.com/JaleroSofts/PUBG-MASTER-CHEAT,JaleroSofts,PUBG-MASTER-CHEAT,HIGH,YARA_MATCH,94,False,0,1,PENDING
https://github.com/PUBG-ShadowHax-Pro-Cheat/PUBG-Cheat-Undetected,PUBG-ShadowHax-Pro-Cheat,PUBG-Cheat-Undetected,HIGH,YARA_MATCH,70,False,0,1,PENDING
https://github.com/PUBG-ShadowHax-Pro-Cheat/.github,PUBG-ShadowHax-Pro-Cheat,.github,HIGH,YARA_MATCH,46,False,0,1,PENDING
https://github.com/pezzzzzzzz/pubg-hack-2025-new,pezzzzzzzz,pubg-hack-2025-new,LOW,PATTERN_MATCH,21,False,0,0,PENDING
https://github.com/PUBG-Free-ESP-Aimbot/PUBG-Free-ESP-and-Aimbot,PUBG-Free-ESP-Aimbot,PUBG-Free-ESP-and-Aimbot,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/iRuradetQadrum/PUBG-ReaperWare,iRuradetQadrum,PUBG-ReaperWare,HIGH,YARA_MATCH,44,False,0,1,PENDING
https://github.com/xorandor23/pubg-strategy-pro,xorandor23,pubg-strategy-pro,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/iBusiwesDexorl/PUBG-Storm,iBusiwesDexorl,PUBG-Storm,HIGH,YARA_MATCH,44,False,0,1,PENDING
https://github.com/lemonhitman/jfnjbs,lemonhitman,jfnjbs,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/maxthegamer6776/pubg-pc-assistant,maxthegamer6776,pubg-pc-assistant,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/corn88amaep/BattleEnhanceToolkit,corn88amaep,BattleEnhanceToolkit,HIGH,YARA_MATCH,84,False,0,3,PENDING
https://github.com/dinorah1838/BattleRoyaleEnhancer,dinorah1838,BattleRoyaleEnhancer,HIGH,YARA_MATCH,92,False,0,3,PENDING
https://github.com/floomeer-132/PUBG-Aimbot-2025,floomeer-132,PUBG-Aimbot-2025,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/griderwinchester1/BattleRoyaleEnhancer,griderwinchester1,BattleRoyaleEnhancer,HIGH,YARA_MATCH,92,False,0,3,PENDING
https://github.com/sunshine88boar/BattleSenseEnhancer,sunshine88boar,BattleSenseEnhancer,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/Nafindra/pubg-pc-ch3at-mod-h4ck-infinity-ammo-esp,Nafindra,pubg-pc-ch3at-mod-h4ck-infinity-ammo-esp,HIGH,YARA_MATCH,54,False,0,1,PENDING
https://github.com/PUBG-Aimbot-yg929/pubg-aim-assist,PUBG-Aimbot-yg929,pubg-aim-assist,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/PUBG-Esp-Triggerbot/pubg-pc-esp-triggerbot,PUBG-Esp-Triggerbot,pubg-pc-esp-triggerbot,LOW,PATTERN_MATCH,39,False,0,0,PENDING
https://github.com/PnirRR/PUBG-WH-ESP-AIM-RADAR-tool,PnirRR,PUBG-WH-ESP-AIM-RADAR-tool,HIGH,PATTERN_MATCH,63,False,0,0,PENDING
https://github.com/Josue0800/Pubg-hack,Josue0800,Pubg-hack,HIGH,CYRILLIC_OBFUSCATION,100,True,1,3,PENDING
https://github.com/cartgoodidea/v1-TonBG-Infinite-Ammo,cartgoodidea,v1-TonBG-Infinite-Ammo,HIGH,YARA_MATCH,93,False,0,2,PENDING
https://github.com/zeenden1667/PC-PUBG-Auto-Aim,zeenden1667,PC-PUBG-Auto-Aim,HIGH,YARA_MATCH,100,False,0,4,PENDING
https://github.com/harvardwigle82/CombatFlowOptimizer,harvardwigle82,CombatFlowOptimizer,HIGH,YARA_MATCH,100,False,0,4,PENDING
https://github.com/MURSLEEN072/ONLINE-LIB-SYSTEM-,MURSLEEN072,ONLINE-LIB-SYSTEM-,MEDIUM,HIGH_ENTROPY,35,False,1,0,PENDING
https://github.com/Sivasakthi-IT-services/Venom-Pubg-Mobile-Magic-Bullet-Esp-Aimbot--Cheat-Hack-SlientAim,Sivasakthi-IT-services,Venom-Pubg-Mobile-Magic-Bullet-Esp-Aimbot--Cheat-Hack-SlientAim,HIGH,YARA_MATCH,15,False,0,1,PENDING
https://github.com/atiksoftware/pubg_mobile_memory_hacking_examples,atiksoftware,pubg_mobile_memory_hacking_examples,LOW,PATTERN_MATCH,24,False,0,0,PENDING
https://github.com/Mohamed2458/PUBG-MOBILE-HACK-,Mohamed2458,PUBG-MOBILE-HACK-,MEDIUM,HIGH_ENTROPY,35,False,1,0,PENDING
https://github.com/gladiopeace/Pubg-Mobile-Extermal-Esp-Aimbot-Magic-Injector-Spoofer,gladiopeace,Pubg-Mobile-Extermal-Esp-Aimbot-Magic-Injector-Spoofer,HIGH,YARA_MATCH,23,False,0,1,PENDING
https://github.com/HopeArt835/pubg_mobile_memory_hacking_examples,HopeArt835,pubg_mobile_memory_hacking_examples,LOW,PATTERN_MATCH,39,False,0,0,PENDING
https://github.com/margaretoecpb/pubg-spoofer,margaretoecpb,pubg-spoofer,HIGH,YARA_MATCH,30,False,0,1,PENDING
https://github.com/BananaCH836/Escape-from-Tarkov-COV-V2,BananaCH836,Escape-from-Tarkov-COV-V2,HIGH,YARA_MATCH,68,False,0,1,PENDING
